,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
237,15.9,37.0,1.0,0.55,10.0,0.0,0,26,93,244
238,15.9,37.0,1.0,0.53,9.0,0.0,0,26,93,260
239,16.7,38.0,2.0,0.41,7.0,0.0,0,26,93,218
240,17.1,39.0,1.0,0.43,5.0,0.0,0,25,94,227
241,20.7,47.0,1.0,0.36,4.0,0.0,0,25,95,255
242,18.9,43.0,2.0,0.27,3.0,0.0,0,25,94,243
243,18.3,42.0,2.0,0.29,4.0,0.0,0,25,95,292
244,16.1,37.0,3.0,0.26,3.0,0.0,0,24,95,255
245,15.2,35.0,3.0,0.3,4.0,0.0,0,24,94,257
246,13.7,31.0,2.0,0.48,6.0,0.0,0,24,95,289
247,13.5,31.0,1.0,0.92,15.0,0.0,0,25,92,307
248,26.9,61.0,5.0,0.53,11.0,0.0,0,28,81,290
249,27.0,59.0,14.0,0.18,5.0,0.0,0,30,69,80
250,23.9,50.0,19.0,0.15,3.0,0.0,1,32,63,72
251,19.6,39.0,18.0,0.12,2.0,0.0,1,32,59,96
252,18.4,36.0,19.0,0.1,3.0,0.0,2,33,56,90
253,14.6,27.0,20.0,0.11,2.0,0.0,2,33,55,83
254,13.6,25.0,19.0,0.12,3.0,0.0,1,33,55,100
255,12.2,23.0,17.0,0.15,5.0,0.0,1,33,56,119
256,11.8,22.0,17.0,0.38,9.0,0.34,1,32,58,122
257,13.2,26.0,15.0,0.22,7.11,0.0,1,31,64,120
258,19.9,44.0,16.56,0.26,12.0,0.0,1,29,73,127
259,23.3,53.0,10.0,0.31,11.0,0.0,0,28,77,140
260,20.4,47.0,4.0,0.42,12.0,0.0,0,26,85,229
261,22.3,51.0,2.0,0.54,10.0,0.0,0,26,88,261
262,22.8,52.0,3.0,0.47,7.0,0.0,0,25,90,287
263,30.4,70.0,4.0,0.39,6.0,0.0,0,25,90,262
264,24.9,57.0,4.0,0.36,5.0,0.0,0,25,91,235
265,20.4,47.0,2.0,0.34,4.0,0.0,0,24,92,239
266,24.3,56.0,3.0,0.26,3.0,0.0,0,24,93,260
267,21.1,48.0,3.0,0.19,2.0,0.0,0,24,92,263
268,16.0,37.0,3.0,0.18,3.0,0.0,0,24,91,250
269,17.6,40.0,2.0,0.25,4.0,0.0,0,23,91,254
270,15.1,35.0,1.0,0.38,6.0,0.0,0,23,92,237
271,15.1,34.0,1.0,0.5,9.0,0.0,0,24,88,250
272,19.3,43.0,4.0,0.42,10.0,0.0,1,26,81,269
273,19.1,42.0,15.0,0.2,6.0,0.0,1,29,71,243
274,17.9,38.0,20.0,0.15,5.0,0.0,1,31,60,120
275,17.8,36.0,25.0,0.15,4.0,0.0,1,32,60,99
276,15.4,30.0,24.0,0.14,3.0,0.0,1,32,57,104
277,11.8,23.0,22.0,0.16,8.0,0.0,1,32,59,108
278,14.8,29.0,26.0,0.19,4.0,0.0,1,33,55,91
